Topic,Count,Name,Representation,Representative_Docs
-1,3508,-1_ukraine_red_red cross_cross,"['ukraine', 'red', 'red cross', 'cross', 'people', 'mariupol', 'russia', 'war', 'help', 'amp']","['First of all, I would like to thank all your staff who donated to the #RedCross and fulfilled this sacred duty. How is the situation of the civilians who had to cross into #Russia, can they freely go to another country from there? #Mariupol #Ukraine️ (1/1)+', 'The Principality Of Woodlandia Is Gathering Donations With The Canadian Red Cross For The Ukraine Humanitarian Crisis Appeal. You Can help! Every Donation Matters! #micronations #DonateUkraine #RedCross #Ukraine #SupportUkraine #war #HumanitarianAID #art', '""Olenivka is a new Auschwitz"", ""Red Cross, hear us!"", ""Free our heroes"" With such slogans, the relatives of Azovstal defenders once again called on the International Committee of the Red Cross (ICRC) to gain access to the site of the tragedy in Olenivka... #RussianWarCrimes']"
0,130,0_redcross_cross_red cross_red,"['redcross', 'cross', 'red cross', 'red', 'putin', 'organization', 'shame', 'peter', 'lavrov', 'russia']","[""#Putin attacks #RedCross building. Good! If you don't know what the Red Cross is, you're seriously behind. #redcrosswarcrimes they are criminals."", ""Why #RedCross is so inefficient in Ukraine? Just look at these two smiling men: WAR CRIMINAL #Lavrov and the president of the Red Cross, Peter Maurer. They're discussing opening a new Red Cross office in Rostov where Russia is forcefully deporting (!!!) Ukrainians! #UkraineWar"", 'Red Cross chief Peter Maurer and Sergey Lavrov in Moscow, #Russia']"
1,110,1_eurovision_mda_mda eurovision_eurovision mda,"['eurovision', 'mda', 'mda eurovision', 'eurovision mda', 'love', 'ho', 'hey ho', 'ho let', 'eurovision eurovision', 'oh']","['Rednex is back bitches! #MDA #Eurovision', 'CARNAVALLLLLLLL #MDA #Eurovision', 'The CROWD #MDA #Eurovision']"
2,106,2_teams_volunteers_countries_people,"['teams', 'volunteers', 'countries', 'people', 'cross teams', 'support', 'fled', 'border', 'refugees', 'poland']","['#PhotoOfTheWeek: As the armed conflict in #Ukraine continues, over 1 million people have fled and are seeking refuge in neighbouring countries. Red Cross teams are providing necessities like food, water, shelter, and SIM cards to help people stay in touch with loved ones.', 'Hungarian Red Cross teams are working with local volunteers around the clock at several humanitarian service points along the #Ukraine border, helping thousands of people each day with food, water, shelter and medical assistance. Meet some of them in this🧵 👇', 'ifrc RT : Hungarian Red Cross teams are working with local volunteers around the clock at several humanitarian service points along the #Ukraine border, helping thousands of people each day with food, water, shelter and medical assistance. Meet some of them in t…']"
3,82,3_vehicles_armored_transport_weapons,"['vehicles', 'armored', 'transport', 'weapons', 'using red', 'vehicle', 'using', 'sign red', 'sign', 'russian']","['Under the sign of the ""red cross"" Russian armored vehicles move with weapons, which is unacceptable for transport with a similar designation. The Russian occupiers use the ""red cross"" to cover their battle groups. 🇺🇦 #우크라이나 #Ukraine #Україна #StopRussia', '‼️Russian armored vehicles with weapons unacceptable for transport with a similar designation are moving under the sign of the ""red cross"" The Russian occupiers use the ""red cross"" to cover their battle groups.#Ukraine️ #StopPutin #UkraineWar #RussianWarCrimes', 'Under the sign of the Red Cross, Russian armored vehicles with weapons. The Russian occupiers are using the Red Cross to cover their battle groups #Warcrimes #Redcross #Russia #BanPutinPropaganda']"
4,81,4_tigray_endtigraysiege_famine_ic,"['tigray', 'endtigraysiege', 'famine', 'ic', 'man famine', 'tigraygenocide', 'endtigrayfamine', 'man', 'hospitals', 'millions tigray']","['Millions in #Tigray are facing a man made-famine. Hospitals have run out of medical supplies due to the de facto blockade. The #IC is , unfortunately, failing to #EndTigraySiege. #EndTigrayFamine', 'Millions in #Tigray are facing a man made-famine. Hospitals have run out of medical supplies due to the de facto blockade. The #IC is , unfortunately,failing to #EndTigraySiege #EndTigrayFamine', 'Millions in #Tigray are facing a man made-famine. Hospitals have run out of medical supplies due to the de facto blockade. The #IC is , unfortunately, failing to #EndTigraySiege. #EndTigrayFamine ,']"
5,78,5_russiaisaterroriststate_russiaisaterrorisstate_fuck_useless,"['russiaisaterroriststate', 'russiaisaterrorisstate', 'fuck', 'useless', 'russiaisanazistate', 'russiaisaterroriststate russiaisaterroriststate', 'russiaisanazistate russiaisaterroriststate', 'russiaisaterrorisstate russiaisaterrorisstate', 'russiaisaterroriststate useless', 'useless fuck']","['. where are you? #RussiaisATerroristState', '#RussiaIsATerroristState Do something!', '#RussiaIsATerroristState will you do anything ??']"
6,75,6_music_bandcamp_song_bandcampfriday,"['music', 'bandcamp', 'song', 'bandcampfriday', 'proceeds', 'cross ukraine', 'single', 'appeal', 'irish', 'music ukraine']","[""Please buy this *today* since ALL MONEY raised goes to Red Cross Ukraine Appeal - plus it's *great music* from #Ukraine band Kin Chi Kat - via #bandcampfriday"", ""Please buy this *today* since ALL MONEY raised goes to Red Cross Ukraine Appeal - plus it's *great music* from #Ukraine band Kin Chi Kat - via #BandcampFriday #redcross"", ""It's Bandcamp Friday and the new EP 'Sunflowers' is available to download! All sale proceeds are going to the British Red Cross Ukraine Appeal - please consider purchasing and please share! #bandcamp #bandcampfriday #acousticguitar #charity #ukraine""]"
7,68,7_azovstal_evacuated_civilians_civilians azovstal,"['azovstal', 'evacuated', 'civilians', 'civilians azovstal', 'civilians evacuated', 'evacuated azovstal', 'evacuation', 'evacuation civilians', 'operation', 'azovstal mariupol']","['Video shot by Azov fighters shows civilians being evacuated from #Azovstal in #Mariupol #Ukraine and coordinated by UN and Red Cross', '15/ The UN Chief Antonio Guterres released a statement saying he welcomed the news of the arrival of more than 170 civilians evacuated from the #Azovstal steelwork and other areas in #Mariupol in a successful coordinated operation by the UN and the International Red Cross.', 'The #UN Chief Antonio Guterres said that he welcomed the news of the arrival of more than 170 civilians evacuated from the Azovstal steelwork and other areas in Mariupol in a successful coordinated operation by the UN and the International Red Cross. #Ukraine #Russia']"
8,65,8_defenders_azovstal_azov_captivity,"['defenders', 'azovstal', 'azov', 'captivity', 'azovstal defenders', 'saveazovstaldefenders', 'defenders azovstal', 'azovstaldefenders', 'freeazovstaldefenders', 'heroes']","['what are you doing now? do you have any more important things than doing your job? where are the reports from the captivity of the defenders of Azovstal? where are the defenders? #UkraineRussiaWar #EU #UkraineWar #SaveAzov', 'Speak up about Azovstal defenders who are treated violently and ruthlessly in russian captivity, and whom you guaranteed safety #FreeAzovstalDefenders #OlenivkaMassacre #russiaisaterrorisstate', '#Azovstal defenders finally met their loved ones. 💙💛💙💛 #FreeAzovstalDefenders #StandWithUkraine Still hundreds of heroes are still in Russian captivity, we remember and wait for them home. #RussiaisATerroistState']"
9,60,9_work_humanitarian_conflict_response,"['work', 'humanitarian', 'conflict', 'response', 'discuss', 'amp', 'humanitarian situation', 'vulnerable', 'continue', 'discussion']","[""Misinformation, deliberate or not, about 's humanitarian response in #Ukraine is putting more lives at risk. Our statement seeks to set the record straight - on our #neutral &amp; #impartial role, &amp; the responsibility of parties to the conflict under #IHL"", 'At the European regional conference in Georgia to discuss how to better support and how to scale up our work inside and outside #Ukraine. We have a collective responsibility to reach vulnerable people, provide essential services, and leave no one behind.', 'Impressed by the lifesaving humanitarian work of . From the beginning of the conflict, they helped more than 5.4 million people. They are still working to reach more vulnerable people in #Ukraine. We continue supporting their work']"
10,60,10_icrc_ukraine icrc_met_icrc ukraine,"['icrc', 'ukraine icrc', 'met', 'icrc ukraine', 'respect', 'kyiv ukraine', 'time', 'leaving', 'time stop', 'icrc work']","['Following the armed conflict in #Ukraine? Follow these accounts: And here are some people you should definitely follow: : ICRC Ukraine spokesperson : ICRC Ukraine head of delegation : ICRC head of comms for Eurasia', 'Leaving #kyiv and #ukraine. Time to be be reunited with my family. A deep appreciation for ICRC colleagues working relentlessly close to #frontlines. My thoughts go to the people affected by the armed conflict and their anxiety about what the future will bring.', 'Leaving #kyiv and #ukraine. Time to be be reunited with my family. A deep appreciation for ICRC colleagues working relentlessly close to #frontlines. My though go to the people affected by the armed conflict and their anxiety about what the future will bring.']"
11,60,11_buses_zaporizhzhia_convoy_private,"['buses', 'zaporizhzhia', 'convoy', 'private', 'convoy buses', '500 people', 'berdyansk', 'vehicles', 'mariupol residents', '42']","[': RT : UPDATE: Our team led a convoy of buses and private cars with over 500 people to Zaporizhzhia. Those who were part of the convoy had managed to flee #Mariupol. We hope this helps people find the safe haven they so desperately need …', 'BREAKING: The Committee of the Red Cross has led a convoy of buses and private cars carrying more than 500 people to Zaporizhzhia. The civilians had managed to flee the besieged Ukrainian town of Mariupol #UkraineRussiaWar', 'Today, team led a convoy of buses and private cars with over 500 people to Zaporizhzhia in #Ukraine. Those who were part of the convoy had managed to flee Mariupol. We hope this helps people find the safe haven they so desperately need right now.']"
